#,Answer,%,Count
31,Door Lock,4.63%,36
35,Security Alarm,4.38%,34
36,Security Camera,4.38%,34
32,Garage Door Opener,4.25%,33
53,Smoke Detector,3.60%,28
33,Glass Break Detector,3.22%,25
60,Car Automation,3.09%,24
48,Motion Sensor,2.83%,22
44,Gas Sensor,2.70%,21
51,Presence Sensor,2.70%,21
49,Open/Close Sensor,2.57%,20
17,Gas Stove,2.19%,17
30,Blood Pressure Monitor,2.19%,17
34,Pulse Monitor,2.19%,17
37,Sleep Monitor,2.19%,17
43,CO Detector,2.06%,16
6,Shades/Blinds,1.93%,15
61,Doorbell,1.93%,15
65,GeoLocation Monitor,1.80%,14
41,Water Leak Detector,1.67%,13
38,Smart Mirror,1.54%,12
55,Temperature Sensor,1.54%,12
72,Beacon Device,1.42%,11
20,Microwave Oven,1.42%,11
39,Smart TV,1.42%,11
1,Air Conditioner,1.29%,10
7,Smart Printer,1.29%,10
42,Water Purifier,1.29%,10
52,Smart IR,1.29%,10
70,Valve,1.29%,10
9,Thermostat,1.16%,9
10,Vent,1.16%,9
18,Induction CookTop,1.16%,9
21,Oil Warmer,1.16%,9
40,Speaker,1.16%,9
62,Electric Blanket,1.16%,9
63,Energy Meter,1.16%,9
22,Refrigerator,1.03%,8
27,Water Heater,1.03%,8
19,Kettle,0.90%,7
54,Step Sensor,0.90%,7
66,Lighting Remote,0.90%,7
69,Switches,0.90%,7
5,Light Bulb,0.77%,6
8,Sprinkler,0.77%,6
15,Dishwasher,0.77%,6
23,Rice Cooker,0.77%,6
29,Audio Player,0.77%,6
46,Illuminance Sensor,0.77%,6
57,Air Purifier,0.77%,6
64,Water Filter,0.77%,6
71,Air Cooler,0.64%,5
2,Coffee Maker,0.64%,5
14,Bread Maker,0.64%,5
47,Moisture Sensor,0.64%,5
56,Tilt Sensor,0.64%,5
73,Clothes Dryer,0.51%,4
16,Dust Detector,0.51%,4
24,Robot Vacuum,0.51%,4
26,SoyMilk Maker,0.51%,4
45,Humidity Sensor,0.51%,4
50,PH Sensor,0.51%,4
58,Airer,0.51%,4
59,Button,0.51%,4
68,Smart Battery,0.51%,4
3,Fan,0.39%,3
4,Humidifier,0.39%,3
11,Weather Station,0.39%,3
25,Sous Vide,0.39%,3
67,Scene Switch,0.39%,3
